"listing_id","listing_name","source_name","source_status","listing_url_or_note","review_date","reviewer","status","address","neighborhood","housing_type","room_type","bed_type","bathroom_setup","monthly_rent_sgd","monthly_total_all_in_sgd","deposit_months","deposit_sgd","utilities_included","hidden_fees_note","availability_start","availability_end","semester_stay_acceptance","student_pass_acceptance","private_room","bed_bigger_than_single","desk_in_room","aircon_in_room","aircon_in_apartment","fan_in_room","window_count","natural_light_quality","laundry_access","kitchen_access","guest_policy","landlord_lives_on_site","mixed_gender_ok","student_friendly","condition_summary","commute_minutes_to_smu","commute_mode","nearest_mrt_or_bus","evidence_quality","hard_filter_fail_count","hard_filter_tbd_count","positive_points_awarded","positive_points_possible","positive_score_pct","penalty_points","total_score_after_penalties","lease_fit_points","cost_points","location_points","living_arrangement_points","unit_quality_points","trust_points","key_strengths","key_concerns","next_action"
"keystone-farrer-standard","Standard","Keystone Farrer Park by Homestead","approved","https://www.thekeystone.sg/farrerpark","2026-05-31","Codex","hard_filter_failed","118 Race Course Road, Singapore 218581","Farrer Park / Little India","serviced_residence","private room","Queen Bed","ensuite bathroom","2145","2145","unknown","2000","yes","Terms page states S$2,000 security deposit and S$200 admin fee for Farrer Park and Lavender; GST may apply","","","yes; source positions it for long-term serviced apartment and student accommodation use","yes","yes","yes","yes","yes","","","unknown","yes","yes","Shared kitchen / pantry access only; no in-room kitchen","unknown","unknown","unknown","yes","","Farrer Park property page lists Standard room directly with 14-16+ sqm, queen bed, study desk, air-conditioning, windows, ensuite bathroom, Wi-Fi, utilities, weekly cleaning, shared kitchen, washer and dryer, and shared pantry; approved source does not appear to expose a separate room-detail URL","unknown","unknown","Farrer Park MRT","1","3","","","","","","","","","","","","","",""
"keystone-farrer-xl","XL","Keystone Farrer Park by Homestead","approved","https://www.thekeystone.sg/farrerpark","2026-05-31","Codex","hard_filter_failed","118 Race Course Road, Singapore 218581","Farrer Park / Little India","serviced_residence","private room","Queen Bed","ensuite bathroom","2255","2255","unknown","2000","yes","Terms page states S$2,000 security deposit and S$200 admin fee for Farrer Park and Lavender; GST may apply","","","yes; source positions it for long-term serviced apartment and student accommodation use","yes","yes","yes","yes","yes","","","unknown","yes","yes","Shared kitchen / pantry access only; no in-room kitchen","unknown","unknown","unknown","yes","","Farrer Park property page lists XL room directly with 23 sqm, queen bed, study desk, air-conditioning, full-length windows, spacious ensuite bathroom, Wi-Fi, utilities, weekly cleaning, shared kitchen, washer and dryer, and shared pantry; approved source does not appear to expose a separate room-detail URL","unknown","unknown","Farrer Park MRT","1","3","","","","","","","","","","","","","",""
"bencoolen-house-tap-lite","TAP Lite","The Assembly Place","approved","https://www.theassemblyplace.com/properties/bencoolen-house/","2026-05-31","Codex","hard_filter_tbd","27 Bencoolen Street, Singapore 189620","Rochor / Bencoolen","coliving_operator","private room","Queen Bed","shared bathroom likely","1700","1700","unknown","unknown","yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","2026-07-01","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","","Bencoolen House page lists this room type directly with queen bed and study table; property includes air-conditioning, equipped kitchen, washer and dryer, fibre broadband, beddings, and weekly housekeeping; no separate room-detail URL appears exposed","1","walk","Bencoolen MRT","0","1","","","","","","","","","","","","listed at S$1700/month; Queen Bed; desk in room; AC","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"bencoolen-house-tap-luxe","TAP Luxe","The Assembly Place","approved","https://www.theassemblyplace.com/properties/bencoolen-house/","2026-05-31","Codex","hard_filter_failed","27 Bencoolen Street, Singapore 189620","Rochor / Bencoolen","coliving_operator","private room","Queen Bed","ensuite bathroom","2500","2500","unknown","unknown","yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","yes","unknown","unknown","unknown","yes","","Bencoolen House page lists this room type directly with queen bed, study table, and ensuite bathroom; property includes air-conditioning, equipped kitchen, washer and dryer, fibre broadband, beddings, and weekly housekeeping; no separate room-detail URL appears exposed","1","walk","Bencoolen MRT","1","3","","","","","","","","","","","","","",""
"jalan-besar-138-lite","TAP Lite","The Assembly Place","approved","https://www.theassemblyplace.com/properties/138-jalan-besar/","2026-05-31","Codex","hard_filter_tbd","138 Jalan Besar, Singapore","Jalan Besar / Rochor","coliving_operator","private room","Queen Bed","unknown","1500","1500","unknown","unknown","yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","Bar fridge only shown at room level; shared full kitchen listed in property benefits","not disclosed publicly on listing page","unknown","unknown","yes","","138 Jalan Besar page lists TAP Lite directly with queen bed, bar fridge, washer and dryer, study table, and room TV; property benefits include air-conditioning, equipped kitchen, weekly housekeeping, and fibre broadband; no separate room-detail URL appears exposed","5","walk","Jalan Besar MRT","0","2","","","","","","","","","","","","listed at S$1500/month; Queen Bed; desk in room; AC","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"jalan-besar-138-luxe","TAP Luxe","The Assembly Place","approved","https://www.theassemblyplace.com/properties/138-jalan-besar/","2026-05-31","Codex","hard_filter_tbd","138 Jalan Besar, Singapore","Jalan Besar / Rochor","coliving_operator","private room","Queen Bed","ensuite bathroom","1950","1950","unknown","unknown","yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","2026-03-27","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","Bar fridge only shown at room level; shared full kitchen listed in property benefits","not disclosed publicly on listing page","unknown","unknown","yes","","138 Jalan Besar page lists TAP Luxe directly with queen bed, bar fridge, washer and dryer, study table, ensuite bathroom, and room TV; property benefits include air-conditioning, equipped kitchen, weekly housekeeping, and fibre broadband; no separate room-detail URL appears exposed","5","walk","Jalan Besar MRT","0","1","","","","","","","","","","","","listed at S$1950/month; Queen Bed; desk in room; AC","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"jalan-besar-140-lite","TAP Lite","The Assembly Place","approved","https://www.theassemblyplace.com/properties/140-jalan-besar/","2026-05-31","Codex","hard_filter_tbd","140 Jalan Besar, Singapore","Jalan Besar / Rochor","coliving_operator","private room","Queen Bed","ensuite bathroom","1950","1950","unknown","unknown","yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","2026-03-26","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","Bar fridge only shown at room level; shared full kitchen listed in property benefits","not disclosed publicly on listing page","unknown","unknown","yes","","140 Jalan Besar page lists TAP Lite directly with queen bed, bar fridge, washer and dryer, study table, ensuite bathroom, and room TV; property benefits include air-conditioning, equipped kitchen, weekly housekeeping, and fibre broadband; no separate room-detail URL appears exposed","5","walk","Jalan Besar MRT","0","1","","","","","","","","","","","","listed at S$1950/month; Queen Bed; desk in room; AC","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"jalan-besar-140-luxe","TAP Luxe","The Assembly Place","approved","https://www.theassemblyplace.com/properties/140-jalan-besar/","2026-05-31","Codex","hard_filter_failed","140 Jalan Besar, Singapore","Jalan Besar / Rochor","coliving_operator","private room","Queen Bed","unknown","2200","2200","unknown","unknown","yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","Bar fridge only shown at room level; shared full kitchen listed in property benefits","unknown","unknown","unknown","yes","","140 Jalan Besar page lists TAP Luxe directly with queen bed, bar fridge, washer and dryer, study table, and room TV; property benefits include air-conditioning, equipped kitchen, weekly housekeeping, and fibre broadband; no separate room-detail URL appears exposed","5","walk","Jalan Besar MRT","1","3","","","","","","","","","","","","","",""
"horne-road-64-lite","TAP Lite","The Assembly Place","approved","https://www.theassemblyplace.com/properties/64-horne-road/","2026-05-31","Codex","hard_filter_tbd","64 Horne Road, Singapore 209072","Rochor / Lavender","coliving_operator","private room","Queen Bed","unknown","1750","1750","unknown","unknown","yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","","64 Horne Road page lists TAP Lite directly with queen bed and study table; property includes air-conditioning, equipped kitchen, washer and dryer, fibre broadband, utilities, and weekly housekeeping; no separate room-detail URL appears exposed","unknown","unknown","Lavender MRT / Bendemeer MRT","0","2","","","","","","","","","","","","listed at S$1750/month; Queen Bed; desk in room; AC","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"dunlop-79a-lite","TAP Lite","The Assembly Place","approved","https://www.theassemblyplace.com/properties/79a-dunlop-street/","2026-05-31","Codex","hard_filter_tbd","79A Dunlop Street, Singapore 209406","Rochor / Little India","coliving_operator","private room","Single or Queen Bed","unknown","1400","1400","unknown","unknown","yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","","","yes; property page states 3 Months Flexible Lease","yes","yes","unknown","yes","yes","","","unknown","yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","","79A Dunlop Street page lists TAP Lite directly and states single or queen bed plus study table; property includes air-conditioning, equipped kitchen, washer and dryer, fibre broadband, beddings, and weekly housekeeping; no separate room-detail URL appears exposed","unknown","unknown","Rochor MRT","0","2","","","","","","","","","","","","listed at S$1400/month; Single or Queen Bed; desk in room; AC","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"the-centren-lite-queen","TAP Lite","The Assembly Place","approved","https://www.theassemblyplace.com/properties/the-centren/","2026-05-31","Codex","hard_filter_tbd","The Centren, Singapore","Aljunied / Geylang","coliving_operator","private room","Queen Bed","unknown","1800","1800","unknown","unknown","yes","Operator notes say monthly membership is all-inclusive; separate fee breakdown still not disclosed on the page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","","The Centren page lists a queen-bed TAP Lite option directly; property benefits include air-conditioning, equipped kitchen, washer and dryer, fibre broadband, weekly housekeeping, balcony, elevator, and swimming pool; no separate room-detail URL appears exposed","unknown","unknown","Aljunied MRT","0","2","","","","","","","","","","","","listed at S$1800/month; Queen Bed; desk in room; AC","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"the-centren-luxe","TAP Luxe","The Assembly Place","approved","https://www.theassemblyplace.com/properties/the-centren/","2026-05-31","Codex","hard_filter_failed","The Centren, Singapore","Aljunied / Geylang","coliving_operator","private room","Queen Bed","ensuite bathroom","2300","2300","unknown","unknown","yes","Operator notes say monthly membership is all-inclusive; separate fee breakdown still not disclosed on the page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","yes","unknown","unknown","unknown","yes","","The Centren page lists TAP Luxe directly with queen bed, balcony, and ensuite bathroom; property benefits include air-conditioning, equipped kitchen, washer and dryer, fibre broadband, weekly housekeeping, elevator, and swimming pool; no separate room-detail URL appears exposed","unknown","unknown","Aljunied MRT","1","3","","","","","","","","","","","","","",""
"tank-road-3-luxe","TAP Luxe","The Assembly Place","approved","https://www.theassemblyplace.com/properties/3-tank-road/","2026-05-31","Codex","hard_filter_failed","3 Tank Road, Singapore 238060","River Valley / Fort Canning","coliving_operator","private room","Queen Bed","ensuite bathroom","2200","2200","unknown","unknown","yes","Operator FAQ-level fees like deposit, admin fee, stamp duty, and move-out fee are not disclosed on this property page","2026-06-24","","yes; property page states 1 Month Flexible Lease","yes","yes","yes","yes","yes","","","unknown","yes","yes","Equipped kitchen listed in property benefits; no in-room kitchen shown","unknown","unknown","unknown","yes","","3 Tank Road page lists TAP Luxe directly with queen bed, study table, and ensuite bathroom; property includes air-conditioning, equipped kitchen, utilities, washer and dryer, fibre broadband, housekeeping, and elevator; no separate room-detail URL appears exposed","unknown","unknown","Fort Canning MRT","1","2","","","","","","","","","","","","","",""
"lyf-bugis-nano-queen","Nano Queen","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-bugis-singapore/nano-queen","2026-05-31","Codex","hard_filter_tbd","200 Middle Road, Singapore 188980","Bugis / Bencoolen","apartment_hotel","private room","Queen Bed","ensuite bathroom","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown","unknown","unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows private ensuite room with queen bed and desk; central Bencoolen/Bugis location is strongly aligned with SMU access","","unknown","walk","Bencoolen MRT","medium","0","6","","","","","","","","","","","","Queen Bed; desk in room; near Bencoolen MRT","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"lyf-bugis-one-of-a-kind","One of A Kind (Studio)","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-bugis-singapore/one-of-a-kind-studio","2026-05-31","Codex","hard_filter_tbd","200 Middle Road, Singapore 188980","Bugis / Bencoolen","apartment_hotel","private room","King Bed","ensuite bathroom","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown","unknown","unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows private studio with king bed, private bathroom, Smart TV, mini fridge, desk, and chair","","unknown","walk","Bencoolen MRT","medium","0","6","","","","","","","","","","","","King Bed; desk in room; near Bencoolen MRT","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"lyf-bugis-one-of-a-kind-plus","One of A Kind Plus (Studio Premier)","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-bugis-singapore/one-of-a-kind-plus-studio-premier","2026-05-31","Codex","hard_filter_tbd","200 Middle Road, Singapore 188980","Bugis / Bencoolen","apartment_hotel","private room","King Bed","ensuite bathroom","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown","unknown","unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows larger private studio with king bed, deluxe bathroom, desk, chair, mini fridge, and large TV","","unknown","walk","Bencoolen MRT","medium","0","6","","","","","","","","","","","","King Bed; desk in room; near Bencoolen MRT","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"lyf-farrer-one-of-a-kind","One of A Kind (Studio)","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-farrer-park-singapore/one-of-a-kind-studio","2026-05-31","Codex","hard_filter_tbd","2 Perumal Road, #01-01, Singapore 218773","Farrer Park","apartment_hotel","private room","Queen Bed","ensuite bathroom","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown","yes","Fully-equipped social kitchen is listed at property level; room page shows kettle and crockery","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows private studio with queen bed, private bathroom with separate shower, high-speed WiFi, mobile key access, and weekly housekeeping","","unknown","public transport","Farrer Park MRT","medium","0","6","","","","","","","","","","","","Queen Bed; desk in room; near Farrer Park MRT","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
"lyf-funan-one-of-a-kind","One of a Kind (Studio)","lyf","approved","https://www.discoverasr.com/en/lyf/singapore/lyf-funan-singapore","2026-05-31","Codex","hard_filter_tbd","67 Hill Street, #04-01, Singapore 179370","City Hall / Funan","apartment_hotel","private room","unknown","ensuite bathroom","","","unknown","unknown","unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","unknown","yes","yes","","","unknown","unknown","unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Property page lists exact room type with max 2 pax and 18 sqm; property is next to City Hall MRT and in the CBD","","unknown","walk","City Hall MRT","medium","0","6","","","","","","","","","","","","desk in room; near City Hall MRT","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly","Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms."
