"listing_id","session_id","batch_id","created_at","updated_at","current_phase_state","hard_filter_status","rankable_status","needs_manual_followup","confidence_level","hard_filter_fail_count","hard_filter_tbd_count","positive_points_earned","positive_points_possible","positive_score_pct","penalty_points","total_score_after_penalties","lease_fit_points_earned","cost_points_earned","location_points_earned","living_arrangement_points_earned","unit_quality_points_earned","trust_points_earned","key_strengths","key_concerns","next_action","decision_notes"
"the-centren-lite-queen","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","62","76","81.6","0","62","3","16","5","12","17","9","listed at S$1800/month; Queen Bed; desk in room; AC; clean modern visuals and a plausible desk-plus-queen layout","deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; August 2026 move-in still needs confirmation; gallery looks polished and partly generic, so exact room spaciousness and shared-bath feel remain somewhat uncertain","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-bugis-nano-queen","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","6","53","62","85.5","0","53","4","0","6","18","16","9","Queen Bed; desk in room; near Bencoolen MRT; clean branded visuals and maintained ensuite finish","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; very compact footprint likely limits desk comfort and spare storage space","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-bugis-one-of-a-kind","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","6","53","62","85.5","0","53","4","0","6","18","16","9","King Bed; desk in room; near Bencoolen MRT; clean branded visuals and stronger bathroom or studio finish than lower tiers","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official photography is polished and staged, so exact room feel can still differ in person","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-bugis-one-of-a-kind-plus","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","6","53","62","85.5","0","53","4","0","6","18","16","9","King Bed; desk in room; near Bencoolen MRT; clean branded visuals and stronger bathroom or studio finish than lower tiers","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official photography is polished and staged, so exact room feel can still differ in person","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-farrer-one-of-a-kind","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","6","54","62","87.1","0","54","4","0","5","18","18","9","Queen Bed; desk in room; near Farrer Park MRT; clean branded visuals and stronger bathroom or studio finish than lower tiers","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official photography is polished and staged, so exact room feel can still differ in person","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-funan-one-of-a-kind","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","unknown","0","7","38","46","82.6","0","38","0","0","6","8","16","8","desk in room; near City Hall MRT; clean branded visuals and stronger bathroom or studio finish than lower tiers","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official photography is polished and staged, so exact room feel can still differ in person; exact room deep link was not exposed publicly, so the row stores the most specific public page plus an explicit note","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-funan-one-of-a-kind-plus","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","6","55","62","88.7","0","55","4","0","6","18","18","9","Queen Bed; desk in room; near City Hall MRT; clean branded visuals and stronger bathroom or studio finish than lower tiers","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official photography is polished and staged, so exact room feel can still differ in person","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-chinatown-nano-queen","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","unknown","0","4","45","57","78.9","0","45","3","0","5","12","17","8","Queen Bed; desk in room; AC; near public transport; clean branded visuals and maintained ensuite finish","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; very compact footprint likely limits desk comfort and spare storage space; exact room deep link was not exposed publicly, so the row stores the most specific public page plus an explicit note","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-chinatown-nano-queen-plus","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","unknown","0","4","45","57","78.9","0","45","3","0","5","12","17","8","Queen Bed; desk in room; AC; near public transport; clean branded visuals and maintained ensuite finish","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; very compact footprint likely limits desk comfort and spare storage space; exact room deep link was not exposed publicly, so the row stores the most specific public page plus an explicit note","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-chinatown-one-of-a-kind","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","unknown","0","5","41","52","78.8","0","41","0","0","5","12","16","8","desk in room; AC; near public transport; clean branded visuals and stronger bathroom or studio finish than lower tiers","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official photography is polished and staged, so exact room feel can still differ in person; exact room deep link was not exposed publicly, so the row stores the most specific public page plus an explicit note","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"lyf-chinatown-one-of-a-kind-plus","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","unknown","0","5","41","52","78.8","0","41","0","0","5","12","16","8","desk in room; AC; near public transport; clean branded visuals and stronger bathroom or studio finish than lower tiers","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official photography is polished and staged, so exact room feel can still differ in person; exact room deep link was not exposed publicly, so the row stores the most specific public page plus an explicit note","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"somerset-bencoolen-one-bedroom-deluxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","5","56","64","87.5","0","56","0","3","18","8","18","9","desk in room; 8 min to SMU; apartment-style visuals suggest strong usable floor space and a cleaner kitchen-bathroom package","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official marketing photos are polished and may not capture every wear point or exact unit orientation","Provisional comparison score only. Human review required before ranking. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"somerset-bencoolen-one-bedroom-premier","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","5","56","64","87.5","0","56","0","3","18","8","18","9","desk in room; 8 min to SMU; apartment-style visuals suggest strong usable floor space and a cleaner kitchen-bathroom package","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official marketing photos are polished and may not capture every wear point or exact unit orientation","Provisional comparison score only. Human review required before ranking. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"citadines-rochor-studio-premier","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","5","53","62","85.5","0","53","4","0","6","18","16","9","Queen Bed; desk in room; near Rochor MRT; clean serviced-apartment visuals and modern bathroom finish","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; studio layout is likely efficient and compact despite bright photography","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"citadines-rochor-studio-executive","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","5","53","62","85.5","0","53","4","0","6","18","16","9","Queen Bed; desk in room; near Rochor MRT; clean serviced-apartment visuals and modern bathroom finish","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; studio layout is likely efficient and compact despite bright photography","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"citadines-rochor-one-bedroom-premier","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","4","53","62","85.5","0","53","4","0","6","18","16","9","Queen Bed; desk in room; laundry access; near Rochor MRT; clean serviced-apartment visuals with stronger usable floor space","current monthly SGD rate is not publicly shown; deposit/admin/tax terms are not fully disclosed; guest policy is not disclosed publicly; official images are polished and may overstate spaciousness slightly","Provisional comparison score only. Request a written Aug-Dec quote with exact room hold, deposit, utilities, fees/taxes, guest policy, and lease terms.","Provisional comparison only until unresolved hard filters are closed."
"cove-ritzfarrer-671","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","70","88","79.5","0","70","4","7","15","18","17","9","Exact room page with stronger-than-required bed size and central transit access; exact-room photography looks more real than heavily staged marketing","Live monthly price and exact August move-in date were not exposed cleanly on the retrieved page; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Confirm the current monthly rate and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-plaza-665","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","1","68","98","69.4","0","68","3","11","15","13","17","9","Central private-room option with exact URL and strong basic fit; exact-room photography looks more real than heavily staged marketing","Shared bathroom details, utilities inclusion, and August-specific availability reconfirmation remain unverified; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm whether this exact room can be held for the semester dates and request the full fee breakdown","Provisional comparison only until unresolved hard filters are closed."
"cove-foch-1056","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","73","88","83","0","73","5","7","15","20","17","9","Private studio format with kitchenette and exact listing URL; exact-room photography looks more real than heavily staged marketing","Top-of-page monthly rate and August-specific availability were not exposed cleanly in retrieved content; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Confirm the live monthly price and August move-in date for this exact studio","Provisional comparison only until unresolved hard filters are closed."
"cove-foch-1049","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","73","88","83","0","73","5","7","15","20","17","9","Larger private studio in a central location with exact listing URL; exact-room photography looks more real than heavily staged marketing","Top-of-page monthly rate and August-specific availability were not exposed cleanly in retrieved content; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Human review required before ranking.","Provisional comparison only until unresolved hard filters are closed."
"cove-foch-1038","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","73","88","83","0","73","5","7","15","20","17","9","Large private studio with exact listing URL and strong room basics; exact-room photography looks more real than heavily staged marketing","Top-of-page monthly rate and August-specific availability were not exposed cleanly in retrieved content; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Human review required before ranking.","Provisional comparison only until unresolved hard filters are closed."
"cove-foch-1057","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","73","88","83","0","73","5","7","15","20","17","9","Central private studio with exact listing URL and strong room basics; exact-room photography looks more real than heavily staged marketing","Top-of-page monthly rate and August-specific availability were not exposed cleanly in retrieved content; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Human review required before ranking.","Provisional comparison only until unresolved hard filters are closed."
"cove-bayron-2268","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","64","88","72.7","0","64","3","7","15","13","17","9","Central SMU-tagged room with exact listing URL and strong room basics; exact-room photography looks more real than heavily staged marketing","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm the live monthly price and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-bayron-2466","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","70","88","79.5","0","70","4","7","15","18","17","9","Central SMU-tagged ensuite with exact listing URL; exact-room photography looks more real than heavily staged marketing","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Confirm the live monthly price and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-bayron-2719","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","64","88","72.7","0","64","3","7","15","13","17","9","Central SMU-tagged room with exact listing URL and queen bed; exact-room photography looks more real than heavily staged marketing","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm the live monthly price and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-bayron-2649","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","64","88","72.7","0","64","3","7","15","13","17","9","Central SMU-tagged room with exact listing URL and strong room basics; exact-room photography looks more real than heavily staged marketing","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm the live monthly price and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-kinta-1170","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","3","70","88","79.5","0","70","4","7","15","18","17","9","Private ensuite room with exact listing URL and strong student-oriented signals; exact-room photography looks more real than heavily staged marketing","Top-of-page monthly rate and exact availability for this specific room were not exposed cleanly in retrieved content; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Confirm the live monthly price and August move-in date for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-samkiang-3155","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","2","68","98","69.4","0","68","3","11","15","13","17","9","Large private room with exact listing URL and strong daylight evidence; exact-room photography looks more real than heavily staged marketing","Exact live availability for August is unclear because the page mainly surfaced other room availability blocks; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm the live August move-in date and full fee breakdown for this exact room","Provisional comparison only until unresolved hard filters are closed."
"cove-samkiang-3157","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","1","71","98","72.4","0","71","3","14","15","13","17","9","Central private room with exact listing URL, queen bed, desk, and strong natural-light evidence; exact-room photography looks more real than heavily staged marketing","Utilities inclusion and August-specific availability reconfirmation remain unverified; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm whether this exact room is still available for the semester dates and request the full fee breakdown","Provisional comparison only until unresolved hard filters are closed."
"cove-hootkiam-476","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","1","76","98","77.6","0","76","4","11","17","18","17","9","Highly central ensuite room with exact listing URL and strong profile fit; exact-room photography looks more real than heavily staged marketing","Utilities inclusion and August-specific availability reconfirmation remain unverified; Cove itself notes that actual room condition can vary slightly from the photos","Provisional comparison score only. Human review required before ranking.","Provisional comparison only until unresolved hard filters are closed."
"cove-hootkiam-907","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","1","74","98","75.5","0","74","3","17","15","13","17","9","Lower-cost central private room with exact listing URL and good basics; exact-room photography looks more real than heavily staged marketing","Utilities inclusion and August-specific availability reconfirmation remain unverified; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm whether this exact room is still available for the semester dates and request the full fee breakdown","Provisional comparison only until unresolved hard filters are closed."
"cove-regency-3108","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","phase6_scored_provisional","hard_filter_tbd","review_only_hard_filter_tbd","yes","medium","0","2","74","98","75.5","0","74","3","17","15","13","17","9","Lower-cost central private room with exact listing URL and strong room basics; exact-room photography looks more real than heavily staged marketing","Exact live availability date, utilities inclusion, and August-specific availability remain unverified; shared-bath or shared-area finish looks more functional than premium and can vary by building","Provisional comparison score only. Confirm the live August move-in date and full fee breakdown for this exact room","Provisional comparison only until unresolved hard filters are closed."
