"listing_id","session_id","batch_id","created_at","updated_at","last_reviewed_at","phase_state","source_name","source_status","listing_name","exact_listing_url","listing_url_quality","address","neighborhood","housing_type","room_type","bed_type","bathroom_setup","displayed_currency","displayed_monthly_rent","normalized_monthly_rent_sgd","normalized_monthly_rent_usd","normalized_total_all_in_sgd","normalized_total_all_in_usd","fx_rate_sgd_to_usd","fx_rate_date","deposit_months","deposit_sgd","deposit_usd","utilities_included","hidden_fees_note","availability_start","availability_end","semester_stay_acceptance","student_pass_acceptance","private_room","bed_bigger_than_single","desk_in_room","aircon_in_room","aircon_in_apartment","fan_in_room","window_count","natural_light_quality","laundry_access","kitchen_access","guest_policy","landlord_lives_on_site","mixed_gender_ok","student_friendly","condition_summary","commute_minutes_to_smu","commute_mode","nearest_mrt_or_bus","evidence_quality"
"the-centren-lite-queen","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","The Assembly Place","approved","TAP Lite","https://www.theassemblyplace.com/properties/the-centren/","exact_or_best_public_room_page","The Centren, Singapore","Aljunied / Geylang","coliving_operator","private room","Queen Bed","unknown","SGD","1800","1800","1406.25","1800","1406.25","0.78125","2026-06-02",,,,"yes","Operator notes say monthly membership is all-inclusive; separate fee breakdown still not disclosed on the page","","","yes; property page states 3 Months Flexible Lease","yes","yes","yes","yes","yes","","",,"yes","yes","yes","not disclosed publicly on listing page","unknown","unknown","yes","Property photos look polished and recently maintained, with a hotel-like co-living feel; the likely tradeoff is compact usable floor space and only moderate confidence that every image is from the exact room type.",,"unknown","Aljunied MRT","medium"
"lyf-bugis-nano-queen","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","Nano Queen","https://www.discoverasr.com/en/lyf/singapore/lyf-bugis-singapore/nano-queen","exact_or_best_public_room_page","200 Middle Road, Singapore 188980","Bugis / Bencoolen","apartment_hotel","private room","Queen Bed","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown",,"unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows private ensuite room with queen bed and desk; central Bencoolen/Bugis location is strongly aligned with SMU access","Official branded room photography suggests clean hotel-grade maintenance and a credible ensuite, but the Nano tier is likely very compact with limited spare floor area beyond the bed and circulation.",,"walk","Bencoolen MRT","medium"
"lyf-bugis-one-of-a-kind","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","One of A Kind (Studio)","https://www.discoverasr.com/en/lyf/singapore/lyf-bugis-singapore/one-of-a-kind-studio","exact_or_best_public_room_page","200 Middle Road, Singapore 188980","Bugis / Bencoolen","apartment_hotel","private room","King Bed","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown",,"unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows private studio with king bed, private bathroom, Smart TV, mini fridge, desk, and chair","Official branded room photography suggests clean hotel-grade maintenance and a credible self-contained layout, though the visuals are heavily staged and may overstate spaciousness.",,"walk","Bencoolen MRT","medium"
"lyf-bugis-one-of-a-kind-plus","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","One of A Kind Plus (Studio Premier)","https://www.discoverasr.com/en/lyf/singapore/lyf-bugis-singapore/one-of-a-kind-plus-studio-premier","exact_or_best_public_room_page","200 Middle Road, Singapore 188980","Bugis / Bencoolen","apartment_hotel","private room","King Bed","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown",,"unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows larger private studio with king bed, deluxe bathroom, desk, chair, mini fridge, and large TV","Official branded room photography suggests clean hotel-grade maintenance and a more comfortable self-contained layout than the smallest tiers, though the visuals are heavily staged and exact daylight still depends on orientation.",,"walk","Bencoolen MRT","medium"
"lyf-farrer-one-of-a-kind","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","One of A Kind (Studio)","https://www.discoverasr.com/en/lyf/singapore/lyf-farrer-park-singapore/one-of-a-kind-studio","exact_or_best_public_room_page","2 Perumal Road, #01-01, Singapore 218773","Farrer Park","apartment_hotel","private room","Queen Bed","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown",,"Fully-equipped social kitchen is listed at property level; room page shows kettle and crockery","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows private studio with queen bed, private bathroom with separate shower, high-speed WiFi, mobile key access, and weekly housekeeping","Official branded room photography suggests clean hotel-grade maintenance and a credible self-contained layout, though the visuals are heavily staged and may overstate spaciousness.",,"public transport","Farrer Park MRT","medium"
"lyf-funan-one-of-a-kind","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","One of a Kind (Studio)","https://www.discoverasr.com/en/lyf/singapore/lyf-funan-singapore | exact room deep link not exposed on the public page used for extraction","mixed_or_non_exact","67 Hill Street, #04-01, Singapore 179370","City Hall / Funan","apartment_hotel","private room","unknown","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","unknown","yes","yes","","","unknown",,"unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Property page lists exact room type with max 2 pax and 18 sqm; property is next to City Hall MRT and in the CBD","Official branded room photography suggests clean hotel-grade maintenance and a credible self-contained layout, though the visuals are heavily staged and may overstate spaciousness.",,"walk","City Hall MRT","unknown"
"lyf-funan-one-of-a-kind-plus","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","One of a Kind Plus (Studio)","https://www.discoverasr.com/en/lyf/singapore/lyf-funan-singapore/one-of-a-kind-plus-studio","exact_or_best_public_room_page","67 Hill Street, #04-01, Singapore 179370","City Hall / Funan","apartment_hotel","private room","Queen Bed","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","unknown",,"unknown","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page shows queen bed, well-equipped kitchen, spacious dining area doubling as work desk, high-speed WiFi, Smart TV, and mobile key access","Official branded room photography suggests clean hotel-grade maintenance and a more comfortable self-contained layout than the smallest tiers, though the visuals are heavily staged and exact daylight still depends on orientation.",,"walk","City Hall MRT","medium"
"lyf-chinatown-nano-queen","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","Nano Queen","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore | exact room deep link not exposed on the public page used for extraction","mixed_or_non_exact","25 Mosque Street #01-01, Singapore 059937","Chinatown","apartment_hotel","private room","Queen Bed","unknown","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","2026-07-03","","yes; property opens before the semester and supports stays of 30 nights and above with a 7-day cancellation window","yes","yes","yes","yes","yes","","",,"unknown","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","Official branded room photography suggests clean hotel-grade maintenance and a credible ensuite, but the Nano tier is likely very compact with limited spare floor area beyond the bed and circulation.",,"public transport","Chinatown MRT","unknown"
"lyf-chinatown-nano-queen-plus","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","Nano Queen Plus","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore | exact room deep link not exposed on the public page used for extraction","mixed_or_non_exact","25 Mosque Street #01-01, Singapore 059937","Chinatown","apartment_hotel","private room","Queen Bed","unknown","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","2026-07-03","","yes; property opens before the semester and supports stays of 30 nights and above with a 7-day cancellation window","yes","yes","yes","yes","yes","","",,"unknown","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","Official branded room photography suggests clean hotel-grade maintenance and a credible ensuite, but the Nano tier is likely very compact with limited spare floor area beyond the bed and circulation.",,"public transport","Chinatown MRT","unknown"
"lyf-chinatown-one-of-a-kind","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","One of A Kind","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore | exact room deep link not exposed on the public page used for extraction","mixed_or_non_exact","25 Mosque Street #01-01, Singapore 059937","Chinatown","apartment_hotel","private room","unknown","unknown","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","2026-07-03","","yes; property opens before the semester and supports stays of 30 nights and above with a 7-day cancellation window","yes","yes","unknown","yes","yes","","",,"unknown","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","Official branded room photography suggests clean hotel-grade maintenance and a credible self-contained layout, though the visuals are heavily staged and may overstate spaciousness.",,"public transport","Chinatown MRT","unknown"
"lyf-chinatown-one-of-a-kind-plus","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","lyf","approved","One of A Kind Plus","https://www.discoverasr.com/en/lyf/singapore/lyf-chinatown-singapore | exact room deep link not exposed on the public page used for extraction","mixed_or_non_exact","25 Mosque Street #01-01, Singapore 059937","Chinatown","apartment_hotel","private room","unknown","unknown","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","2026-07-03","","yes; property opens before the semester and supports stays of 30 nights and above with a 7-day cancellation window","yes","yes","unknown","yes","yes","","",,"unknown","unknown","unknown","not disclosed publicly on listing page","unknown","unknown","yes","Official branded room photography suggests clean hotel-grade maintenance and a more comfortable self-contained layout than the smallest tiers, though the visuals are heavily staged and exact daylight still depends on orientation.",,"public transport","Chinatown MRT","unknown"
"somerset-bencoolen-one-bedroom-deluxe","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Somerset-Bencoolen (Ascotts)","approved","One-Bedroom Deluxe","https://www.discoverasr.com/en/somerset-serviced-residence/singapore/somerset-bencoolen-singapore/one-bedroom-deluxe","exact_or_best_public_room_page","51 Bencoolen Street, Singapore 189630","Bencoolen / Bras Basah","apartment_hotel","entire apartment","unknown","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","9% GST applies; room-specific public rate was not surfaced in retrieved content","","","yes","yes","unknown","yes","yes","","","unknown",,"yes","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room URL exists; property page states fully-equipped kitchen, daily housekeeping except Sundays/public holidays, complimentary WiFi, and 1-minute walk to Bencoolen MRT","Serviced-apartment photography suggests a properly livable layout with the strongest floor-space story in the current set, plus cleaner bathroom and kitchen finishes than most room-only products.","8","walk","Bencoolen MRT","medium"
"somerset-bencoolen-one-bedroom-premier","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Somerset-Bencoolen (Ascotts)","approved","One-Bedroom Premier","https://www.discoverasr.com/en/somerset-serviced-residence/singapore/somerset-bencoolen-singapore/one-bedroom-premier","exact_or_best_public_room_page","51 Bencoolen Street, Singapore 189630","Bencoolen / Bras Basah","apartment_hotel","entire apartment","unknown","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","9% GST applies; room-specific public rate was not surfaced in retrieved content","","","yes","yes","unknown","yes","yes","","","unknown",,"yes","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room URL exists; property page states fully-equipped kitchen, daily housekeeping except Sundays/public holidays, complimentary WiFi, and 1-minute walk to Bencoolen MRT","Serviced-apartment photography suggests a properly livable layout with the strongest floor-space story in the current set, plus cleaner bathroom and kitchen finishes than most room-only products.","8","walk","Bencoolen MRT","medium"
"citadines-rochor-studio-premier","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Citadines Singapore","approved","Studio Premier","https://www.discoverasr.com/en/citadines/singapore/citadines-rochor-singapore/studio-premier","exact_or_best_public_room_page","2 Serangoon Road, Singapore 218227","Rochor / Little India","apartment_hotel","private room","Queen Bed","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","","good",,"yes","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Exact room page exists under a central Citadines property; room type is part of a long-term serviced apartment product in Rochor","Branded serviced-apartment visuals suggest clean modern maintenance, though the studio tiers are likely efficient rather than roomy despite the polished photography.",,"walk","Rochor MRT","medium"
"citadines-rochor-studio-executive","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Citadines Singapore","approved","Studio Executive","https://www.discoverasr.com/en/citadines/singapore/citadines-rochor-singapore/studio-executive","exact_or_best_public_room_page","2 Serangoon Road, Singapore 218227","Rochor / Little India","apartment_hotel","private room","Queen Bed","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","1","good",,"yes","unknown","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page confirms queen bed, ensuite bathroom, work desk and chair, kitchenette, and floor-to-ceiling windows with natural daylight","Branded serviced-apartment visuals suggest clean modern maintenance, though the studio tiers are likely efficient rather than roomy despite the polished photography.",,"walk","Rochor MRT","medium"
"citadines-rochor-one-bedroom-premier","session_2026_05_31_initial_research","batch_2026_05_31_initial_pack_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Citadines Singapore","approved","One-Bedroom Premier","https://www.discoverasr.com/en/citadines/singapore/citadines-rochor-singapore/one-bedroom-premier","exact_or_best_public_room_page","2 Serangoon Road, Singapore 218227","Rochor / Little India","apartment_hotel","entire apartment","Queen Bed","ensuite bathroom","unknown",,,,,,"0.78125","2026-06-02",,,,"unknown","Public page did not show a rate in retrieved content; final long-stay pricing and any taxes or fees remain unknown","","","yes","yes","yes","yes","yes","","1","good",,"yes","yes","unknown","not disclosed publicly on listing page","unknown","yes","Deep room page confirms queen bed, ensuite bathroom, separate living and dining area, full kitchen, work desk, washer-dryer, and floor-to-ceiling windows","Branded serviced-apartment visuals suggest clean modern maintenance and a more usable separation of sleeping and living zones than the studio tiers.",,"walk","Rochor MRT","medium"
"cove-ritzfarrer-671","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Master Ensuite Room","https://cove.sg/listings/671-cove-103-master-ensuite-room-ritzfarrer","exact_or_best_public_room_page","142 Race Course Road, Singapore 218593","Jalan Besar / Farrer Park","coliving_operator","private room","King Bed","private bathroom","unknown",,,,,,"0.78125","2026-06-02","1",,,"unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee; page shows promo or T&C pricing variation","","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; king bed, desk, balcony, private bathroom, external window, and rooftop pool access","Exact-room and property photos look believable rather than over-staged, with a more comfortable room feel than the smaller Cove categories. Bathrooms read clean and functional, though several properties look more practical than luxurious.","18","public transport","Farrer Park MRT","medium"
"cove-plaza-665","session_2026_05_31_initial_research","batch_2026_05_31_cove_phase2","2026-05-31","2026-05-31","2026-05-31","phase6_scored_provisional","Cove","approved","Standard Room","https://cove.sg/listings/665-cove-94-standard-room-the-plaza","exact_or_best_public_room_page","7500A Beach Road, Singapore 199591","Bugis / Beach Road","coliving_operator","private room","Queen Bed","shared bathroom","SGD","1900","1900","1484.38",,,"0.78125","2026-06-02","1","1900","1484.38","unknown","Cove student FAQ says first invoice includes a one-month refundable deposit, prorated first month, and a one-off administration fee","2026-05-15","","yes; Cove students page says minimum stay 3 months","yes","yes","yes","yes","yes","","1",,"unknown","yes","unknown","not disclosed publicly on listing page","unknown","yes","Exact Cove room page; queen bed, desk, external window, AC, and central Bugis-area location","Exact-room and property photos look believable rather than over-staged, but this category still reads compact and practical rather than roomy. Shared-bath setups look functional but less premium than the ensuite options.","18","public transport","Nicoll Highway MRT","medium"
